Word, Frequency
sirrah, 6
feast, 6
fourteen, 6
herself, 6
unless, 6
nature, 6
monument, 6
thank, 6
wild, 6
strange, 6
less, 6
match, 6
home, 6
lead, 6
wish, 6
didst, 6
fingers, 5
dry, 5
patience, 5
strike, 5
after, 5
green, 5
consent, 5
satisfied, 5
break, 5
side, 5
laid, 5
hang, 5
already, 5
cupid, 5
fain, 5
scorn, 5
trust, 5
quickly, 5
voice, 5
iv, 5
ease, 5
dreams, 5
right, 5
form, 5
montagues, 5
longer, 5
dance, 5
wherefore, 5
honour, 5
v, 5
slow, 5
change, 5
bow, 5
withal, 5
dove, 5
window, 5
hall, 5
living, 5
blind, 5
yourself, 5
ring, 5
open, 5
gives, 5
sad, 5
anger, 5
bade, 5
bright, 5
chide, 5
written, 5
asleep, 5
wake, 5
brow, 5
wisely, 5
joyful, 5
dare, 5
power, 5
slaughter, 5
ladies, 5
blessed, 5
hare, 5
wits, 5
fellow, 5
swords, 5
tear, 5
honourable, 5
further, 5
brief, 5
excuse, 5
town, 5
dew, 5
nine, 5
learn, 5
rude, 5
pleasure, 5
hell, 5
might, 5
wash, 5
houses, 5
wench, 5
heads, 5
grace, 5
bride, 5
quoth, 5
gold, 5
fine, 5
mercy, 5
woo, 5
simple, 5
wedding, 5
ready, 5
shape, 5
wings, 5
sighs, 5
piteous, 5
crow, 5
heir, 5
point, 5
shrift, 5
stop, 5
fray, 5
truth, 5
cause, 5
shut, 5
prepare, 5
lamentable, 5
rough, 5
untimely, 5
beat, 5
state, 5
commend, 5
banish, 5
soft, 5
letters, 5
wise, 5
friends, 5
conjure, 4
foul, 4
met, 4
hers, 4
golden, 4
guests, 4
warm, 4
room, 4
worn, 4
wouldst, 4
wind, 4
bitter, 4
wisdom, 4
tree, 4
iron, 4
seek, 4
dares, 4
spite, 4
forsworn, 4
bad, 4
fault, 4
coz, 4
signior, 4
east, 4
mouse, 4
supper, 4
jealous, 4
yours, 4
left, 4
yea, 4
gave, 4
birth, 4
adieu, 4
bold, 4
citizens, 4
civil, 4
fought, 4
uncle, 4
nightly, 4
minute, 4
gentlewoman, 4
stands, 4
along, 4
sake, 4
fly, 4
needs, 4
course, 4
half, 4
veins, 4
en, 4
city, 4
damned, 4
slay, 4
buried, 4
note, 4
begin, 4
sure, 4
prick, 4
going, 4
seal, 4
tut, 4
spirit, 4
quiet, 4
pay, 4
ghostly, 4
lightning, 4
moon, 4
knave, 4
rage, 4
sadness, 4
intents, 4
thither, 4
mask, 4
streets, 4
pass, 4
womb, 4
search, 4
depart, 4
known, 4
rather, 4
coming, 4
hark, 4
hard, 4
bridegroom, 4
seeming, 4
knocking, 4
believe, 4
grey, 4
sell, 4
towards, 4
oft, 4
cover, 4
heavens, 4
cry, 4
remove, 4
bare, 4
flies, 4
raise, 4
secret, 4
empty, 4
vow, 4
hoar, 4
cut, 4
work, 4
lent, 4
e, 4
strew, 4
fatal, 4
torture, 4
kinsmen, 4
knife, 4
waking, 4
sour, 4
ran, 4
names, 4
doubt, 4
weeping, 4
women, 4
something, 4
lamb, 4
attend, 4
steel, 4
loved, 4
beg, 4
lover, 4
deny, 4
consort, 4
wear, 4
hope, 4
cruel, 4
amen, 4
precious, 4
swift, 4
walk, 4
hateful, 4
lest, 4
loss, 4
hair, 4
broad, 4
beshrew, 4
keeps, 4
weeps, 4
count, 4
kisses, 4
beats, 4
protest, 3
rouse, 3
sweetest, 3
